split_threshold max_recursion_depth n time
10 0 1000 3499.5
10 1 1000 3894.9
10 2 1000 4341.6
10 3 1000 6036.6
10 4 1000 9338.2
10 5 1000 19061.4
10 6 1000 47118.3
10 7 1000 85074.4
10 8 1000 84171.9
10 9 1000 86484.0
10 10 1000 91828.9
35 0 1000 4342.8
35 1 1000 3459.2
35 2 1000 4600.8
35 3 1000 6857.2
35 4 1000 12998.3
35 5 1000 22784.6
35 6 1000 22381.6
35 7 1000 22621.7
35 8 1000 23730.8
35 9 1000 30155.7
35 10 1000 25718.7
60 0 1000 3384.8
60 1 1000 5726.4
60 2 1000 4534.5
60 3 1000 6101.2
60 4 1000 13218.8
60 5 1000 23104.0
60 6 1000 23272.5
60 7 1000 22029.8
60 8 1000 24074.3
60 9 1000 22913.4
60 10 1000 23222.2
85 0 1000 3275.0
85 1 1000 3399.6
85 2 1000 3846.1
85 3 1000 6552.5
85 4 1000 10823.7
85 5 1000 12422.7
85 6 1000 12503.0
85 7 1000 12854.4
85 8 1000 11701.1
85 9 1000 11718.8
85 10 1000 11026.5
110 0 1000 3098.2
110 1 1000 3311.9
110 2 1000 4134.5
110 3 1000 5823.6
110 4 1000 12292.4
110 5 1000 11789.4
110 6 1000 12339.2
110 7 1000 10536.5
110 8 1000 11134.9
110 9 1000 17678.2
110 10 1000 11299.9
135 0 1000 3097.1
135 1 1000 3225.9
135 2 1000 3936.4
135 3 1000 7769.7
135 4 1000 6824.7
135 5 1000 6045.2
135 6 1000 8524.0
135 7 1000 6220.2
135 8 1000 6603.8
135 9 1000 5821.6
135 10 1000 5884.3
160 0 1000 3926.8
160 1 1000 3254.5
160 2 1000 3649.4
160 3 1000 6140.3
160 4 1000 6350.4
160 5 1000 6711.7
160 6 1000 6405.2
160 7 1000 6603.2
160 8 1000 6137.3
160 9 1000 6212.4
160 10 1000 7094.9
185 0 1000 3327.1
185 1 1000 3415.0
185 2 1000 4452.8
185 3 1000 7187.1
185 4 1000 6949.5
185 5 1000 6268.8
185 6 1000 6699.4
185 7 1000 6644.7
185 8 1000 6633.1
185 9 1000 7416.3
185 10 1000 6571.4
210 0 1000 3237.3
210 1 1000 3414.4
210 2 1000 3532.0
210 3 1000 8422.3
210 4 1000 6096.5
210 5 1000 6461.1
210 6 1000 5931.7
210 7 1000 6535.9
210 8 1000 6966.2
210 9 1000 7883.1
210 10 1000 6909.2
235 0 1000 3237.1
235 1 1000 3444.5
235 2 1000 4676.9
235 3 1000 6347.0
235 4 1000 6956.7
235 5 1000 6607.3
235 6 1000 6073.3
235 7 1000 8698.6
235 8 1000 6621.5
235 9 1000 9196.1
235 10 1000 6892.7
260 0 1000 4269.5
260 1 1000 3550.1
260 2 1000 4281.7
260 3 1000 4285.7
260 4 1000 4135.9
260 5 1000 4309.5
260 6 1000 3741.5
260 7 1000 3358.7
260 8 1000 3387.2
260 9 1000 3418.1
260 10 1000 3398.8
285 0 1000 4365.2
285 1 1000 3259.0
285 2 1000 3449.6
285 3 1000 3386.9
285 4 1000 3407.2
285 5 1000 3451.3
285 6 1000 5575.7
285 7 1000 3629.3
285 8 1000 3708.6
285 9 1000 3586.2
285 10 1000 3783.6
310 0 1000 3364.2
310 1 1000 3368.9
310 2 1000 3772.1
310 3 1000 3697.9
310 4 1000 3448.8
310 5 1000 3947.9
310 6 1000 3625.6
310 7 1000 3995.2
310 8 1000 3832.0
310 9 1000 3678.2
310 10 1000 3559.5
335 0 1000 3760.6
335 1 1000 3265.4
335 2 1000 6516.7
335 3 1000 3793.5
335 4 1000 3624.6
335 5 1000 4305.7
335 6 1000 4342.3
335 7 1000 3846.2
335 8 1000 3980.5
335 9 1000 5374.5
335 10 1000 7593.1
360 0 1000 3430.5
360 1 1000 3375.0
360 2 1000 4067.6
360 3 1000 4096.6
360 4 1000 4101.1
360 5 1000 3951.6
360 6 1000 4101.0
360 7 1000 3999.8
360 8 1000 4261.0
360 9 1000 4198.1
360 10 1000 4069.6
385 0 1000 3303.6
385 1 1000 3418.6
385 2 1000 4303.3
385 3 1000 4041.7
385 4 1000 3873.9
385 5 1000 4405.4
385 6 1000 4247.6
385 7 1000 3978.4
385 8 1000 3587.5
385 9 1000 12442.3
385 10 1000 3802.2
410 0 1000 3341.2
410 1 1000 3394.2
410 2 1000 3875.2
410 3 1000 4154.1
410 4 1000 4073.2
410 5 1000 4117.8
410 6 1000 4249.1
410 7 1000 13274.0
410 8 1000 3873.8
410 9 1000 4054.5
410 10 1000 4109.8
435 0 1000 3298.9
435 1 1000 3456.0
435 2 1000 3992.2
435 3 1000 4370.1
435 4 1000 3915.6
435 5 1000 4500.1
435 6 1000 4395.9
435 7 1000 4332.1
435 8 1000 4047.2
435 9 1000 4561.7
435 10 1000 4183.9
460 0 1000 3354.7
460 1 1000 3568.8
460 2 1000 4706.3
460 3 1000 3558.5
460 4 1000 3669.9
460 5 1000 4039.0
460 6 1000 4041.6
460 7 1000 3654.1
460 8 1000 3601.3
460 9 1000 3521.7
460 10 1000 3581.6
485 0 1000 3638.1
485 1 1000 3435.1
485 2 1000 3580.4
485 3 1000 4271.1
485 4 1000 3984.9
485 5 1000 4349.6
485 6 1000 4109.2
485 7 1000 4109.4
485 8 1000 4136.0
485 9 1000 3890.9
485 10 1000 4513.9
510 0 1000 3530.2
510 1 1000 3654.9
510 2 1000 3545.0
510 3 1000 3552.4
510 4 1000 3743.1
510 5 1000 3594.0
510 6 1000 3978.9
510 7 1000 7089.2
510 8 1000 3508.4
510 9 1000 16731.4
510 10 1000 4492.2
535 0 1000 3528.9
535 1 1000 6868.1
535 2 1000 4667.0
535 3 1000 3975.5
535 4 1000 3560.2
535 5 1000 3452.4
535 6 1000 3572.0
535 7 1000 3446.2
535 8 1000 3533.3
535 9 1000 3519.5
535 10 1000 3488.0
560 0 1000 4442.0
560 1 1000 3838.7
560 2 1000 3789.6
560 3 1000 3530.9
560 4 1000 3474.1
560 5 1000 3569.2
560 6 1000 3923.0
560 7 1000 3475.8
560 8 1000 3435.1
560 9 1000 3603.0
560 10 1000 5394.9
585 0 1000 3473.6
585 1 1000 3428.2
585 2 1000 3427.9
585 3 1000 3447.0
585 4 1000 3498.9
585 5 1000 3580.4
585 6 1000 3925.9
585 7 1000 3496.6
585 8 1000 3734.0
585 9 1000 3504.8
585 10 1000 3635.4
610 0 1000 3462.2
610 1 1000 3707.1
610 2 1000 3571.2
610 3 1000 3792.0
610 4 1000 3499.6
610 5 1000 3445.8
610 6 1000 3456.5
610 7 1000 3549.4
610 8 1000 3441.9
610 9 1000 3472.6
610 10 1000 3559.2
635 0 1000 3436.3
635 1 1000 3866.0
635 2 1000 3448.4
635 3 1000 3472.2
635 4 1000 3486.5
635 5 1000 3491.3
635 6 1000 3489.6
635 7 1000 3472.0
635 8 1000 3812.6
635 9 1000 3457.3
635 10 1000 3432.2
660 0 1000 7435.9
660 1 1000 3579.9
660 2 1000 3532.5
660 3 1000 7229.3
660 4 1000 3844.3
660 5 1000 3506.0
660 6 1000 3571.9
660 7 1000 3948.7
660 8 1000 4968.5
660 9 1000 3971.3
660 10 1000 3634.7
685 0 1000 3598.7
685 1 1000 3614.4
685 2 1000 3604.6
685 3 1000 3598.7
685 4 1000 3626.8
685 5 1000 3560.3
685 6 1000 3600.5
685 7 1000 3600.2
685 8 1000 3542.1
685 9 1000 3637.1
685 10 1000 3447.2
710 0 1000 3359.7
710 1 1000 3519.4
710 2 1000 3393.6
710 3 1000 3454.9
710 4 1000 3452.9
710 5 1000 3487.5
710 6 1000 3446.8
710 7 1000 4019.6
710 8 1000 3497.8
710 9 1000 3562.2
710 10 1000 3475.2
735 0 1000 3466.3
735 1 1000 3452.0
735 2 1000 3513.5
735 3 1000 3766.3
735 4 1000 3505.3
735 5 1000 3585.3
735 6 1000 3465.7
735 7 1000 3508.0
735 8 1000 3434.5
735 9 1000 4519.7
735 10 1000 4608.6
760 0 1000 3640.5
760 1 1000 3430.4
760 2 1000 3479.4
760 3 1000 3628.2
760 4 1000 4535.6
760 5 1000 3473.0
760 6 1000 4407.5
760 7 1000 3474.2
760 8 1000 3525.6
760 9 1000 3563.3
760 10 1000 4098.5
785 0 1000 3476.6
785 1 1000 3442.4
785 2 1000 3553.3
785 3 1000 3599.4
785 4 1000 3526.5
785 5 1000 3572.7
785 6 1000 3537.0
785 7 1000 3526.8
785 8 1000 3499.3
785 9 1000 3516.2
785 10 1000 6455.4
810 0 1000 4423.4
810 1 1000 3477.3
810 2 1000 3527.5
810 3 1000 4027.7
810 4 1000 3554.3
810 5 1000 3506.6
810 6 1000 3515.4
810 7 1000 3520.6
810 8 1000 3519.8
810 9 1000 3526.7
810 10 1000 3494.6
835 0 1000 3447.8
835 1 1000 3408.6
835 2 1000 3495.0
835 3 1000 3447.5
835 4 1000 3488.4
835 5 1000 3524.9
835 6 1000 8133.5
835 7 1000 3481.0
835 8 1000 3453.3
835 9 1000 4369.2
835 10 1000 4431.8
860 0 1000 3439.3
860 1 1000 3387.4
860 2 1000 3556.9
860 3 1000 4494.1
860 4 1000 3481.2
860 5 1000 3564.3
860 6 1000 3511.4
860 7 1000 3410.0
860 8 1000 3440.8
860 9 1000 3592.0
860 10 1000 3468.2
885 0 1000 3522.5
885 1 1000 3537.2
885 2 1000 3478.9
885 3 1000 3508.2
885 4 1000 3466.6
885 5 1000 3429.8
885 6 1000 3443.2
885 7 1000 3414.0
885 8 1000 3705.7
885 9 1000 6174.1
885 10 1000 3415.4
910 0 1000 7727.5
910 1 1000 3433.4
910 2 1000 11944.1
910 3 1000 3438.9
910 4 1000 9910.7
910 5 1000 3480.4
910 6 1000 3553.1
910 7 1000 3456.1
910 8 1000 3451.3
910 9 1000 3583.4
910 10 1000 3407.1
935 0 1000 6572.3
935 1 1000 3465.7
935 2 1000 3411.3
935 3 1000 3598.1
935 4 1000 4561.1
935 5 1000 3554.2
935 6 1000 3733.2
935 7 1000 3502.3
935 8 1000 3487.4
935 9 1000 3525.1
935 10 1000 3475.7
960 0 1000 3441.4
960 1 1000 3453.7
960 2 1000 3475.0
960 3 1000 3589.0
960 4 1000 3668.5
960 5 1000 3541.5
960 6 1000 3634.2
960 7 1000 3462.1
960 8 1000 3751.5
960 9 1000 3882.5
960 10 1000 5948.4
985 0 1000 3438.7
985 1 1000 3453.0
